BOP,Bird Love Score [<3]
2,68.43
3,25.19
19,69.63
22,75.13
24,79.35
26,62.93
45,27.88
66,64.86
72,75.20
87,35.08
93,15.27
108,34.05
113,72.89
115,11.55
141,43.49
151,50.83
165,13.15
173,69.08
182,74.79
183,41.93
189,38.49
222,29.97
235,82.20
239,71.18
289,48.59
293,64.84
316,61.42
317,71.92
329,16.71
342,12.47
343,36.78
348,88.05
354,40.76
369,9.93
381,90.81
393,23.78
402,19.11
411,27.94
427,16.92
468,54.83
476,37.34
495,68.56
496,40.87
502,18.60
518,46.19
569,27.88
570,32.64
598,39.45
606,43.38
632,18.23
637,81.08
664,44.28
667,13.33
680,46.81
700,24.85
704,31.60
728,47.93
736,84.73
738,45.12
748,37.54
752,62.85
765,34.29
767,88.72
772,76.56
797,20.45
803,25.61
820,54.88
821,48.03
823,13.11
828,39.30
835,18.54
843,33.68
871,66.06
873,18.39
876,8.94
881,44.47
891,58.30
894,78.96
899,87.14
902,28.06
912,45.41
930,26.75
934,83.98
938,55.91
942,32.00
955,44.35
960,39.03
965,10.93
981,55.59
1023,45.75
1040,14.50
1055,42.87
1067,46.62
1104,40.16
1137,21.78
1198,25.37
1222,62.62
1232,21.09
1235,38.18
1253,41.33
1261,34.24
1263,18.31
1272,24.85
1295,74.91
1296,42.23
1297,67.66
1319,10.14
1322,24.47
1328,21.39
1379,33.62
1423,37.42
1453,22.06
1461,11.20
1485,38.69
1491,37.38
1541,43.45
1545,43.15
1548,44.67
1606,13.48
1613,34.29
1614,15.35
1617,43.09
1627,81.34
1642,31.64
1651,73.80
1668,39.94
1687,39.43
1711,21.70
1730,35.87
1738,21.74
1745,15.01
1752,36.10
1754,20.20
1755,29.65
1763,48.99
1770,19.03
1788,23.70
1791,48.11
1799,60.94
1824,46.12
1855,46.98
1856,69.21
1864,35.81
1898,26.90
1901,23.09
1920,22.82
1924,21.54
1927,9.70
1951,10.00
1952,38.23
1961,51.20
1978,61.49
2024,48.22
2039,26.79
2057,76.33
2066,45.43
2071,54.82
2072,5.67
2078,11.71
2136,23.38
2145,40.66
2149,30.38
2154,42.49
2161,46.53
2164,28.71
2165,27.13
2175,12.66
2182,35.88
2185,29.67
2222,14.36
2232,25.44
2256,67.04
2267,82.55
2283,32.81
2285,20.16
2292,40.91
2308,46.87
2309,46.75
2333,27.32
2341,84.48
2346,47.98
2356,45.75
2360,36.80
2364,15.04
2382,17.46
2389,34.81
2391,36.91
2408,57.56
2414,26.42
2428,68.29
2439,44.48
2446,28.29
2464,9.52
2469,27.23
2470,44.00
2473,45.73
2479,53.51
2480,27.77
2490,41.50
2498,68.18
