BOP,Bird Love Score [<3]
1,51.67
25,70.32
29,8.94
35,75.45
47,67.58
74,35.59
80,10.86
101,33.64
136,20.50
142,79.25
148,65.62
155,20.97
162,17.54
169,73.17
228,25.65
272,89.42
275,64.70
286,52.92
291,52.25
322,18.21
339,51.75
341,44.39
361,71.49
363,83.34
380,52.51
424,62.32
505,14.61
529,53.45
538,6.79
559,67.26
577,39.01
582,52.20
591,76.64
600,78.30
601,56.90
617,8.30
625,51.03
635,27.58
640,62.92
677,77.07
688,60.54
701,33.01
702,66.13
733,45.42
739,66.30
745,80.66
746,66.17
747,68.65
763,50.96
768,11.63
773,53.17
784,10.36
795,60.19
802,65.08
812,52.71
819,75.70
829,63.45
869,81.59
878,74.69
887,54.09
890,72.51
911,59.43
916,70.50
928,73.99
950,42.21
954,64.33
992,23.52
994,57.22
1003,62.74
1008,68.27
1010,6.23
1012,64.72
1021,72.96
1030,82.18
1041,87.56
1042,52.28
1044,65.30
1045,85.34
1061,26.46
1075,72.54
1077,26.44
1092,82.64
1094,71.99
1112,73.86
1120,81.84
1128,85.48
1134,33.10
1154,39.38
1160,27.14
1168,76.08
1178,47.34
1217,44.81
1256,16.17
1257,75.18
1259,87.73
1287,32.90
1312,81.44
1320,56.42
1326,21.68
1338,53.42
1364,64.11
1366,68.33
1375,70.27
1376,28.11
1413,85.97
1418,66.90
1439,68.53
1455,43.31
1492,63.76
1501,70.86
1502,41.95
1505,54.91
1515,76.20
1523,35.42
1544,24.79
1553,85.37
1566,86.64
1584,62.34
1615,74.85
1646,55.22
1652,74.59
1669,51.63
1673,25.22
1683,57.07
1700,21.23
1706,16.20
1710,53.42
1735,38.04
1739,43.56
1748,75.42
1776,82.49
1781,81.87
1784,81.02
1805,71.36
1831,81.52
1862,60.52
1870,74.40
1871,58.81
1874,23.66
1877,54.62
1900,76.89
1904,61.08
1914,60.89
1916,51.43
1917,43.53
1921,19.65
1922,72.81
1925,60.86
1930,37.07
1939,54.94
1945,51.64
1960,49.84
1979,22.60
1992,55.27
1999,61.23
2002,85.77
2011,20.91
2012,77.18
2019,25.77
2036,85.94
2047,51.81
2048,72.65
2082,55.72
2086,68.29
2087,53.18
2094,68.72
2101,71.09
2104,87.03
2119,61.38
2127,8.09
2129,36.16
2138,51.39
2142,43.20
2151,82.93
2169,11.51
2174,77.41
2180,59.93
2190,67.98
2193,80.86
2197,22.88
2202,83.20
2203,36.09
2208,68.00
2214,69.12
2218,11.92
2249,54.47
2288,11.21
2314,23.10
2322,70.31
2330,25.52
2337,28.57
2369,71.41
2406,75.85
2417,54.19
2430,25.86
2443,78.18
2447,77.81
2456,34.63
2458,7.28
2491,18.72
