BOP,Bird Love Score [<3]
118,42.01
188,55.12
196,45.55
220,46.22
242,43.75
282,54.81
300,48.29
307,61.34
320,60.29
340,43.51
352,55.65
376,36.75
417,43.59
447,30.26
452,50.28
494,52.00
636,46.78
671,56.69
682,41.94
685,60.43
697,40.18
698,40.16
782,46.50
810,51.22
818,37.50
849,61.34
968,48.86
1019,58.62
1035,34.72
1047,40.89
1078,48.51
1101,56.67
1139,51.92
1143,61.46
1146,45.56
1212,49.05
1248,61.02
1265,52.51
1274,31.83
1288,56.10
1350,46.64
1354,60.56
1362,46.76
1383,54.52
1397,42.89
1435,48.23
1447,50.88
1464,34.11
1477,53.38
1482,60.25
1535,54.80
1539,31.11
1556,61.82
1563,46.63
1576,39.30
1577,31.52
1587,43.72
1661,63.36
1713,51.95
1803,52.04
1804,39.70
1838,45.68
1847,42.32
1850,46.60
1907,36.37
1948,38.21
1972,45.98
1976,51.89
1988,30.41
1994,46.78
2022,38.06
2028,54.51
2035,59.10
2074,51.01
2076,41.65
2088,30.80
2139,44.16
2199,37.14
2212,48.17
2242,60.68
2266,46.11
2272,46.45
2273,60.10
2301,36.11
2302,53.25
2320,63.20
2325,35.26
2352,40.44
2393,40.12
2398,45.76
2403,36.19
2407,60.33
2413,59.47
2420,52.97
2425,59.93
2441,36.84
2448,32.18
2450,34.55
2477,61.16
2494,48.74
