Flock ID,Species
8,Flanking Blackfinch
10,Red Firefinch
15,Flanking Blackfinch
16,Medieval Bluetit
17,Red Firefinch
21,Medieval Bluetit
25,Hurracurra Bird
38,Rusty Goldhammer
42,Rusty Goldhammer
45,Red Firefinch
48,Red Firefinch
69,Hurracurra Bird
70,Red Firefinch
78,Flanking Blackfinch
85,Hurracurra Bird
87,Red Firefinch
101,Flanking Blackfinch
108,Sticky Wolfthroat
113,Hurracurra Bird
121,Hurracurra Bird
126,Red Firefinch
128,Flanking Blackfinch
130,Sticky Wolfthroat
131,Medieval Bluetit
135,Sticky Wolfthroat
136,Red Firefinch
138,Rusty Goldhammer
143,Red Firefinch
154,Rusty Goldhammer
158,Rusty Goldhammer
159,Hurracurra Bird
165,Red Firefinch
166,Sticky Wolfthroat
168,Sticky Wolfthroat
170,Rusty Goldhammer
183,Hurracurra Bird
184,Sticky Wolfthroat
186,Flanking Blackfinch
194,Red Firefinch
202,Rusty Goldhammer
204,Red Firefinch
213,Rusty Goldhammer
220,Sticky Wolfthroat
221,Rusty Goldhammer
225,Flanking Blackfinch
236,Red Firefinch
238,Hurracurra Bird
241,Rusty Goldhammer
244,Rusty Goldhammer
248,Sticky Wolfthroat
250,Medieval Bluetit
251,Rusty Goldhammer
259,Red Firefinch
261,Rusty Goldhammer
265,Medieval Bluetit
269,Hurracurra Bird
270,Medieval Bluetit
284,Medieval Bluetit
286,Medieval Bluetit
289,Rusty Goldhammer
293,Flanking Blackfinch
298,Sticky Wolfthroat
302,Red Firefinch
308,Sticky Wolfthroat
311,Red Firefinch
336,Sticky Wolfthroat
339,Red Firefinch
350,Red Firefinch
352,Hurracurra Bird
353,Medieval Bluetit
354,Sticky Wolfthroat
356,Red Firefinch
